_id,date,gender,race,agebook,agecurr
346,2018-01-01,M,W,39,39
347,2018-01-01,M,W,22,22
348,2018-01-01,M,W,28,28
349,2018-01-01,M,W,32,32
350,2018-01-01,M,W,30,30
351,2018-01-01,M,B,20,20
352,2018-01-01,M,B,39,39
353,2018-01-01,M,B,55,55
354,2018-01-01,M,B,58,58
355,2018-01-01,M,W,38,38
356,2018-01-01,M,W,31,31
357,2018-01-01,M,B,52,52
358,2018-01-01,M,W,45,45
359,2018-01-01,M,B,28,28
360,2018-01-01,M,B,22,22
361,2018-01-01,M,B,42,42
362,2018-01-01,M,B,53,53
363,2018-01-01,M,W,50,50
364,2018-01-01,M,B,18,18
365,2018-01-01,M,B,36,36
366,2018-01-01,M,B,22,34
367,2018-01-01,M,B,32,34
368,2018-01-01,M,W,47,48
369,2018-01-01,M,B,23,24
370,2018-01-01,M,B,32,33
371,2018-01-01,M,B,17,18
372,2018-01-01,M,B,22,23
373,2018-01-01,M,W,62,63
374,2018-01-01,M,B,49,50
375,2018-01-01,M,B,41,42
376,2018-01-01,M,B,26,27
377,2018-01-01,M,W,40,40
378,2018-01-01,M,B,19,20
379,2018-01-01,M,W,36,36
380,2018-01-01,M,B,21,22
381,2018-01-01,M,B,22,22
382,2018-01-01,M,W,30,30
383,2018-01-01,M,W,62,63
384,2018-01-01,M,B,43,44
385,2018-01-01,M,W,35,36
386,2018-01-01,M,W,27,28
387,2018-01-01,M,W,29,29
388,2018-01-01,M,W,38,38
389,2018-01-01,M,B,22,23
390,2018-01-01,M,B,51,52
391,2018-01-01,M,W,56,57
392,2018-01-01,M,W,37,37
393,2018-01-01,M,B,24,25
394,2018-01-01,M,B,21,21
395,2018-01-01,M,B,49,49
396,2018-01-01,M,B,21,22
397,2018-01-01,M,W,35,35
398,2018-01-01,M,W,43,44
399,2018-01-01,M,W,30,30
400,2018-01-01,M,W,23,24
401,2018-01-01,M,W,37,37
402,2018-01-01,M,B,19,19
403,2018-01-01,M,W,17,18
404,2018-01-01,M,W,26,26
405,2018-01-01,M,B,58,58
406,2018-01-01,M,B,28,28
407,2018-01-01,M,W,58,58
408,2018-01-01,M,W,37,37
409,2018-01-01,M,W,19,19
410,2018-01-01,M,W,19,19
411,2018-01-01,M,B,26,27
412,2018-01-01,M,W,28,28
413,2018-01-01,M,B,36,36
414,2018-01-01,M,W,41,41
415,2018-01-01,M,x,34,35
416,2018-01-01,M,B,49,49
417,2018-01-01,M,B,51,51
418,2018-01-01,M,B,28,28
